&ELSE	0
&ELSEIF	0
&ENDIF	0
&GLOBAL-DEFINE	0
&IF	0
&MESSAGE	0
&SCOPED-DEFINE	0
&THEN	0
&UNDEFINE	0
&WEBSTREAM	0
{&BATCH-MODE}	0
{&FILE-NAME}	0
{&LINE-NUMBER}	0
{&OPSYS}	0
{&SEQUENCE}	0
{&WINDOW-SYSTEM}	0
ABSOLUTE	0
ABSTRACT	0
ACCELERATOR	0
ACCUM	0
ACCUMULATE	0
ACTIVE-FORM	0
ACTIVE-WINDOW	0
ADD	10
ADD-BUFFER	0
ADD-CALC-COLUMN	0
ADD-COLUMNS-FROM	0
ADD-EVENTS-PROCEDURE	0
ADD-FIELDS-FROM	0
ADD-FIRST	0
ADD-INDEX-FIELD	0
ADD-LAST	0
ADD-LIKE-COLUMN	0
ADD-LIKE-FIELD	0
ADD-LIKE-INDEX	0
ADD-NEW-FIELD	0
ADD-NEW-INDEX	0
ADD-SCHEMA-LOCATION	0
ADD-SUPER-PROCEDURE	0
ADM-DATA	0
ADVISE	0
ALERT-BOX	0
ALIAS	0
ALL	0
ALLOW-COLUMN-SEARCHING	0
ALLOW-REPLICATION	0
ALTER	0
ALWAYS-ON-TOP	0
AMBIGUOUS	0
ANALYZE	0
AND	0
ANSI-ONLY	0
ANY	0
ANYWHERE	0
APPEND	0
APPL-ALERT-BOXES	0
APPL-CONTEXT-ID	0
APPLICATION	0
APPLY	0
APPSERVER-INFO	0
APPSERVER-PASSWORD	0
APPSERVER-USERID	0
ARRAY-MESSAGE	0
AS	0
ASC	0
ASCENDING	0
ASK-OVERWRITE	0
ASSEMBLY	0
ASSIGN	0
ASYNCHRONOUS	0
ASYNC-REQUEST-COUNT	0
ASYNC-REQUEST-HANDLE	0
AT	0
ATTACHED-PAIRLIST	0
ATTR-SPACE	0
AUDIT-CONTROL	0
AUDIT-ENABLED	0
AUDIT-EVENT-CONTEXT	0
AUDIT-POLICY	0
AUTHENTICATION-FAILED	0
AUTHORIZATION	0
AUTO-COMPLETION	0
AUTO-ENDKEY	0
AUTO-END-KEY	0
AUTO-GO	0
AUTO-INDENT	0
AUTOMATIC	0
AUTO-RESIZE	0
AUTO-RETURN	0
AUTO-SYNCHRONIZE	0
AUTO-ZAP	0
AVAILABLE	0
AVAILABLE-FORMATS	0
AVERAGE	0
AVG	0
BACKGROUND	0
BACKWARDS	0
BASE64-DECODE	0
BASE64-ENCODE	0
BASE-ADE	0
BASE-KEY	0
BATCH-MODE	0
BATCH-SIZE	0
BEFORE-HIDE	0
BEGIN-EVENT-GROUP	0
BEGINS	0
BELL	0
BETWEEN	0
BGCOLOR	0
BIG-ENDIAN	0
BINARY	0
BIND	0
BIND-WHERE	0
BLANK	0
BLOCK-ITERATION-DISPLAY	0
BORDER-BOTTOM-CHARS	0
BORDER-BOTTOM-PIXELS	0
BORDER-LEFT-CHARS	0
BORDER-LEFT-PIXELS	0
BORDER-RIGHT-CHARS	0
BORDER-RIGHT-PIXELS	0
BORDER-TOP-CHARS	0
BORDER-TOP-PIXELS	0
BOX	0
BOX-SELECTABLE	0
BREAK	0
BROWSE	0
BUFFER	0
BUFFER-CHARS	0
BUFFER-COMPARE	0
BUFFER-COPY	0
BUFFER-CREATE	0
BUFFER-DELETE	0
BUFFER-FIELD	0
BUFFER-HANDLE	0
BUFFER-LINES	0
BUFFER-NAME	0
BUFFER-RELEASE	0
BUFFER-VALUE	0
BUTTON	0
BUTTONS	0
BY	0
BY-POINTER	0
BY-VARIANT-POINTER	0
CACHE	0
CACHE-SIZE	0
CALL	0
CALL-NAME	0
CALL-TYPE	0
CANCEL-BREAK	0
CANCEL-BUTTON	0
CAN-CREATE	0
CAN-DELETE	0
CAN-DO	0
CAN-FIND	0
CAN-QUERY	0
CAN-READ	0
CAN-SET	0
CAN-WRITE	0
CAPS	0
CAREFUL-PAINT	0
CASE	0
CASE-SENSITIVE	0
CAST	0
CATCH	0
CDECL	0
CENTERED	0
CHAINED	0
CHARACTER	0
CHARACTER_LENGTH	0
CHARSET	0
CHECK	0
CHECKED	0
CHOOSE	0
CHR	0
CLASS	0
CLASS-TYPE	0
CLEAR	0
CLEAR-APPL-CONTEXT	0
CLEAR-LOG	0
CLEAR-SELECTION	0
CLEAR-SORT-ARROWS	0
CLIENT-CONNECTION-ID	0
CLIENT-PRINCIPAL	0
CLIENT-TTY	0
CLIENT-TYPE	0
CLIENT-WORKSTATION	0
CLIPBOARD	0
CLOSE	0
CLOSE-LOG	0
CODE	0
CODEBASE-LOCATOR	0
CODEPAGE	0
CODEPAGE-CONVERT	0
COLLATE	0
COL-OF	0
COLON	0
COLON-ALIGNED	0
COLOR	0
COLOR-TABLE	0
COLUMN	0
COLUMN-BGCOLOR	0
COLUMN-DCOLOR	0
COLUMN-FGCOLOR	0
COLUMN-FONT	0
COLUMN-LABEL	0
COLUMN-MOVABLE	0
COLUMN-OF	0
COLUMN-PFCOLOR	0
COLUMN-READ-ONLY	0
COLUMN-RESIZABLE	0
COLUMNS	0
COLUMN-SCROLLING	0
COMBO-BOX	0
COM-HANDLE	0
COMMAND	0
COMPARES	0
COMPILE	0
COMPILER	0
COMPLETE	0
COM-SELF	0
CONFIG-NAME	0
CONNECT	0
CONNECTED	0
CONSTRUCTOR	0
CONTAINS	0
CONTENTS	0
CONTEXT	0
CONTEXT-HELP	0
CONTEXT-HELP-FILE	0
CONTEXT-HELP-ID	0
CONTEXT-POPUP	0
CONTROL	0
CONTROL-BOX	0
CONTROL-FRAME	0
CONVERT	0
CONVERT-3D-COLORS	0
CONVERT-TO-OFFSET	0
COPY-DATASET	0
